Elevation,Set,Transect,Date,CommonName,ScientificName,Counts
1250,11,A,20140531,Crested Goshawk,Accipitridae Accipiter trivirgatus,1
1850,6,A,20140614,Crested Goshawk,Accipitridae Accipiter trivirgatus,1
2000,5,B,20130507,Crested Goshawk,Accipitridae Accipiter trivirgatus,1
2050,7,B,20140610,Crested Goshawk,Accipitridae Accipiter trivirgatus,1
700,5,A,20140528,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1300,4,A,20130528,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1300,6,B,20140510,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1750,5,A,20130509,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1800,2,A,20120522,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1800,5,A,20130507,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1800,8,A,20140515,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1200,12,A,20140629,Oriental Honey-Buzzard,Accipitridae Pernis ptilorhynchus,1
200,12,A,20160714,Crested Serpent-Eagle,Accipitridae Spilornis cheela,1
200,12,B,20160714,Crested Serpent-Eagle,Accipitridae Spilornis cheela,1
550,11,B,20140518,Crested Serpent-Eagle,Accipitridae Spilornis cheela,3
800,3,A,20140601,Crested Serpent-Eagle,Accipitridae Spilornis cheela,1
1050,5,A,20140527,Crested Serpent-Eagle,Accipitridae Spilornis cheela,2
1200,9,A,20140519,Crested Serpent-Eagle,Accipitridae Spilornis cheela,1
1200,11,A,20140531,Crested Serpent-Eagle,Accipitridae Spilornis cheela,2
1400,11,B,20140531,Crested Serpent-Eagle,Accipitridae Spilornis cheela,1
650,3,A,20140601,Mountain Hawk-Eagle,Accipitridae Nisaetus nipalensis,1
1000,2,B,20120523,Mountain Hawk-Eagle,Accipitridae Nisaetus nipalensis,2
1250,1,B,20120516,Mountain Hawk-Eagle,Accipitridae Nisaetus nipalensis,1
1400,11,B,20140531,Mountain Hawk-Eagle,Accipitridae Nisaetus nipalensis,1
1500,11,A,20140531,Red-headed Tit,Aegithalidae Aegithalos concinnus,6
1600,9,A,20140512,Red-headed Tit,Aegithalidae Aegithalos concinnus,12
1850,11,A,20140612,Red-headed Tit,Aegithalidae Aegithalos concinnus,4
1850,12,B,20140629,Red-headed Tit,Aegithalidae Aegithalos concinnus,7
2100,9,A,20140701,Red-headed Tit,Aegithalidae Aegithalos concinnus,7
2150,2,B,20120522,Red-headed Tit,Aegithalidae Aegithalos concinnus,2
2150,5,A,20130520,Red-headed Tit,Aegithalidae Aegithalos concinnus,5
2250,5,A,20130520,Red-headed Tit,Aegithalidae Aegithalos concinnus,2
2350,4,A,20140505,Red-headed Tit,Aegithalidae Aegithalos concinnus,2
2400,4,B,20130515,Red-headed Tit,Aegithalidae Aegithalos concinnus,2
2450,9,A,20140626,Red-headed Tit,Aegithalidae Aegithalos concinnus,8
2450,9,B,20140626,Red-headed Tit,Aegithalidae Aegithalos concinnus,8
2550,6,A,20140523,Red-headed Tit,Aegithalidae Aegithalos concinnus,2
200,4,A,20160710,Common Iora,Aegithinidae Aegithina tiphia,4
200,6,A,20160710,Common Iora,Aegithinidae Aegithina tiphia,1
200,9,A,20160711,Common Iora,Aegithinidae Aegithina tiphia,2
200,9,B,20160711,Common Iora,Aegithinidae Aegithina tiphia,2
600,8,B,20140516,Rufous-necked Hornbill,Bucerotidae Aceros nipalensis,1
