Elevation,Set,Transect,Date,CommonName,ScientificName,Counts
2100,3,A,20120131,Eurasian Sparrowhawk,Accipitridae Accipiter nisus,1
2450,3,B,20120201,Eurasian Sparrowhawk,Accipitridae Accipiter nisus,1
2650,1,A,20120118,Eurasian Sparrowhawk,Accipitridae Accipiter nisus,1
1450,7,A,20130117,Crested Goshawk,Accipitridae Accipiter trivirgatus,1
2050,5,A,20120211,Besra Sparrowhawk,Accipitridae Accipiter virgatus,1
2350,4,A,20120213,Besra Sparrowhawk,Accipitridae Accipiter virgatus,1
2650,3,A,20120201,Himalayan Buzzard,Accipitridae Buteo refectus,1
2650,2,B,20120123,Himalayan Buzzard,Accipitridae Buteo refectus,3
700,6,B,20120220,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1250,2,A,20120125,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1350,1,A,20120126,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1450,5,A,20120216,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1450,7,A,20130117,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1550,1,B,20120126,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1800,6,A,20120214,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1950,11,B,20130212,Black Eagle,Accipitridae Ictinaetus malaiensis,1
1450,8,A,20130121,Black Eagle,Accipitridae Ictinaetus malaiensis,2
1450,9,A,20130312,Black Eagle,Accipitridae Ictinaetus malaiensis,2
1450,10,A,20130215,Black Eagle,Accipitridae Ictinaetus malaiensis,2
1450,10,B,20130215,Black Eagle,Accipitridae Ictinaetus malaiensis,2
2300,3,A,20120131,Rufous-bellied Eagle,Accipitridae Lophotriorchis kienerii,1
1000,12,B,20130312,Mountain Hawk-Eagle,Accipitridae Nisaetus nipalensis,1
1150,7,A,20130117,Mountain Hawk-Eagle,Accipitridae Nisaetus nipalensis,1
2250,8,B,20130119,Mountain Hawk-Eagle,Accipitridae Nisaetus nipalensis,1
2250,11,A,20130212,Mountain Hawk-Eagle,Accipitridae Nisaetus nipalensis,1
2300,9,A,20130122,Mountain Hawk-Eagle,Accipitridae Nisaetus nipalensis,1
