WinterList,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PySub,ForMode,Diet,Habitat
Abroscopus schisticeps,5.5,2.88,2.25,49.5,16,5,M,L,I,F
Abroscopus superciliaris,6.5,2.7,2.7,50.75,17.15,7,M,L,I,F
Accipiter nisus,11.11,8.16,9.68,196.65,51.48,220.8,T,G,V,F
Accipiter trivirgatus,31.72,10.51,14.14,216.2,56.93,265,M,G,V,F
Accipiter virgatus,15.27,9.92,14.12,224,57.17,117,G,A,V,F
Aceros nipalensis,187,50.78,76.3,455,70.51,2385,T,F,F,F
Actinodura egertoni,9.1,4.1,4.85,82.5,30.3,36,M,L,O,F
Aegithalos concinnus,4.9,2.53,3.25,52.5,17.2,6,M,L,I,F
Aegithalos iouschistos,5.15,2.08,2.8,56.25,17.25,7,M,L,I,F
Aethopyga gouldiae,12.2,3.2,2.3,56,14,6,T,FL,N,F
Aethopyga ignicauda,16.63,3.9,2.65,58,15.65,8.2,T,FL,N,F
Aethopyga nipalensis,16.65,3,3.1,54.5,16.1,7,T,FL,N,F
Aethopyga saturata,15.95,3,3.1,52,14.55,5,T,FL,N,F
Aethopyga siparaja,15.95,3.7,2.85,62,14.7,7,T,FL,N,F
Alcippe nipalensis,7.26,3.08,3.81,59.08,23,16,M,L,I,F
Alophoixus flaveolus,11.28,4.75,6.59,103.5,22.3,46,M,F,F,F
Anthipes monileger,7.33,3.7,2.9,60.5,21.45,11,B,A,I,F
Anthus hodgsoni,9.37,4.08,3.74,81.6,22.61,21.3,G,G,I,F
Arachnothera magna,35.95,6.1,5.3,94.25,21.7,31,M,FL,N,F
Arborophila mandellii,22.16,4.64,6.5,129.4,39.4,268,G,G,O,F
Arborophila rufogularis,22.22,4.7,6.4,135.5,38.04,344.46,G,G,O,F
Arborophila torqueola,21.12,5.04,6.16,136.5,41.56,344.46,G,G,S,F
Blythipicus pyrrhotis,36.45,9.35,11.3,148.5,26.5,132,G,G,I,F
Brachypteryx montana,8.28,3.15,3.25,66.86,32.44,18,G,G,I,F
Buceros bicornis,268,55.96,120,532.5,87.89,2799,T,F,F,F
Buteo refectus,19.5,11.2,14.9,334,64.6,759.1,G,G,V,O
Cacomantis merulinus,13.02,5.45,4.99,115.5,20.95,25,T,L,I,F
Cacomantis sonneratii,9.89,6.76,5.64,123.9,16.07,34,T,L,I,F
Caprodacus sipahi,12.55,9.84,11.73,101.5,21.41,40,M,F,S,F
