,Names_orig,Family,Order
1,Accipiter trivirgatus,Accipitridae,Accipitriformes
2,Ictinaetus malaiensis,Accipitridae,Accipitriformes
3,Nisaetus nipalensis,Accipitridae,Accipitriformes
4,Pernis ptilorhynchus,Accipitridae,Accipitriformes
5,Spilornis cheela,Accipitridae,Accipitriformes
6,Aegithalos concinnus,Aegithalidae,Passeriformes
7,Aegithina tiphia,Aegithalidae,Passeriformes
8,Halcyon coromanda,Alcedinidae,Coraciiformes
9,Aceros nipalensis,Bucerotidae,Bucerotiformes
10,Anthracoceros albirostris,Bucerotidae,Bucerotiformes
11,Buceros bicornis,Bucerotidae,Bucerotiformes
12,Rhyticeros undulatus,Bucerotidae,Bucerotiformes
13,Lalage melaschistos,Campephagidae,Passeriformes
14,Pericrocotus brevirostris,Campephagidae,Passeriformes
15,Pericrocotus ethologus,Campephagidae,Passeriformes
16,Pericrocotus flammeus,Campephagidae,Passeriformes
17,Pericrocotus solaris,Campephagidae,Passeriformes
18,Certhia discolor,Certhiidae,Passeriformes
19,Chloropsis aurifrons,Irenidae,Passeriformes
20,Chloropsis hardwickii,Irenidae,Passeriformes
21,Orthotomus sutorius,Cisticolidae,Passeriformes
22,Chalcophaps indica,Columbidae,Columbiformes
23,Columba pulchricollis,Columbidae,Columbiformes
24,Ducula aenea,Columbidae,Columbiformes
25,Ducula badia,Columbidae,Columbiformes
26,Macropygia unchall,Columbidae,Columbiformes
27,Treron apicauda,Columbidae,Columbiformes
28,Treron curvirostra,Columbidae,Columbiformes
29,Treron sphenurus,Columbidae,Columbiformes
30,Cissa chinensis,Corvidae,Passeriformes
31,Dendrocitta formosae,Corvidae,Passeriformes
32,Dendrocitta frontalis,Corvidae,Passeriformes
33,Nucifraga caryocatactes,Corvidae,Passeriformes
34,Urocissa flavirostris,Corvidae,Passeriformes
35,Cacomantis merulinus,Cuculidae,Cuculiformes
36,Cacomantis sonneratii,Cuculidae,Cuculiformes
37,Chrysococcyx maculatus,Cuculidae,Cuculiformes
38,Clamator coromandus,Cuculidae,Cuculiformes
39,Cuculus micropterus,Cuculidae,Cuculiformes
40,Cuculus poliocephalus,Cuculidae,Cuculiformes
41,Cuculus saturatus,Cuculidae,Cuculiformes
42,Hierococcyx nisicolor,Cuculidae,Cuculiformes
43,Hierococcyx sparverioides,Cuculidae,Cuculiformes
44,Phaenicophaeus tristis,Cuculidae,Cuculiformes
45,Surniculus lugubris,Cuculidae,Cuculiformes
46,Dicaeum cruentatum,Dicaeidae,Passeriformes
47,Dicaeum ignipectus,Dicaeidae,Passeriformes
48,Dicaeum melanozanthum,Dicaeidae,Passeriformes
49,Dicrurus aeneus,Dicruridae,Passeriformes
50,Dicrurus annectens,Dicruridae,Passeriformes
51,Dicrurus hottentottus,Dicruridae,Passeriformes
52,Dicrurus leucophaeus,Dicruridae,Passeriformes
53,Dicrurus paradiseus,Dicruridae,Passeriformes
54,Dicrurus remifer,Dicruridae,Passeriformes
55,Elachura formosa,Elachuridae,Passeriformes
56,Psarisomus dalhousiae,Eurylaimidae,Passeriformes
57,Microhierax melanoleucos,Falconidae,Falconiformes
58,Carpodacus sipahi,Fringillidae,Passeriformes
59,Carpodacus subhimachalus,Fringillidae,Passeriformes
60,Chloris spinoides,Fringillidae,Passeriformes
61,Leucosticte nemoricola,Fringillidae,Passeriformes
62,Mycerobas melanozanthos,Fringillidae,Passeriformes
63,Pyrrhoplectes epauletta,Fringillidae,Passeriformes
64,Pyrrhula erythaca,Fringillidae,Passeriformes
65,Pyrrhula nipalensis,Fringillidae,Passeriformes
66,Irena puella,Irenidae,Passeriformes
67,Actinodura egertoni,Leiothrichidae,Passeriformes
68,Alcippe nipalensis,Timaliidae,Passeriformes
69,Chrysominla strigula,Leiothrichidae,Passeriformes
70,Cutia nipalensis,Leiothrichidae,Passeriformes
71,Garrulax albogularis,Leiothrichidae,Passeriformes
72,Garrulax caerulatus,Leiothrichidae,Passeriformes
73,Garrulax gularis,Leiothrichidae,Passeriformes
74,Garrulax leucolophus,Leiothrichidae,Passeriformes
75,Garrulax monileger,Leiothrichidae,Passeriformes
76,Garrulax ocellatus,Leiothrichidae,Passeriformes
77,Garrulax pectoralis,Leiothrichidae,Passeriformes
78,Grammatoptila striata,Leiothrichidae,Passeriformes
79,Heterophasia picaoides,Leiothrichidae,Passeriformes
80,Heterophasia pulchella,Leiothrichidae,Passeriformes
81,Leioptila annectens,Leiothrichidae,Passeriformes
82,Leiothrix argentauris,Leiothrichidae,Passeriformes
83,Liocichla bugunorum,Leiothrichidae,Passeriformes
84,Liocichla phoenicea,Leiothrichidae,Passeriformes
85,Minla ignotincta,Leiothrichidae,Passeriformes
86,Sibia waldeni,Leiothrichidae,Passeriformes
87,Siva cyanouroptera,Leiothrichidae,Passeriformes
88,Trochalopteron affine,Leiothrichidae,Passeriformes
89,Trochalopteron erythrocephalum,Leiothrichidae,Passeriformes
90,Trochalopteron imbricatum,Leiothrichidae,Passeriformes
91,Trochalopteron squamatum,Leiothrichidae,Passeriformes
92,Trochalopteron subunicolor,Leiothrichidae,Passeriformes
93,Megalaima asiatica,Megalaimidae,Piciformes
94,Megalaima australis,Megalaimidae,Piciformes
95,Megalaima franklinii,Megalaimidae,Piciformes
96,Psilopogon lineatus,Megalaimidae,Piciformes
97,Psilopogon virens,Megalaimidae,Piciformes
98,Nyctyornis athertoni,Meropidae,Coraciiformes
99,Hypothymis azurea,Monarchidae,Passeriformes
100,Terpsiphone paradisi,Monarchidae,Passeriformes
101,Anthipes monileger,Muscicapidae,Passeriformes
102,Brachypteryx leucophrys,Muscicapidae,Passeriformes
103,Brachypteryx montana,Muscicapidae,Passeriformes
104,Cinclidium frontale,Muscicapidae,Passeriformes
105,Copsychus malabaricus,Muscicapidae,Passeriformes
106,Cyornis banyumas,Muscicapidae,Passeriformes
107,Cyornis poliogenys,Muscicapidae,Passeriformes
108,Cyornis unicolor,Muscicapidae,Passeriformes
109,Enicurus immaculatus,Muscicapidae,Passeriformes
110,Enicurus maculatus,Muscicapidae,Passeriformes
111,Enicurus schistaceus,Muscicapidae,Passeriformes
112,Eumyias thalassinus,Muscicapidae,Passeriformes
113,Ficedula hodgsoni,Muscicapidae,Passeriformes
114,Ficedula sapphira,Muscicapidae,Passeriformes
115,Ficedula strophiata,Muscicapidae,Passeriformes
116,Ficedula tricolor,Muscicapidae,Passeriformes
117,Ficedula westermanni,Muscicapidae,Passeriformes
118,Monticola rufiventris,Turdidae,Passeriformes
119,Muscicapa ferruginea,Muscicapidae,Passeriformes
120,Muscicapa sibirica,Muscicapidae,Passeriformes
121,Myiomela leucura,Muscicapidae,Passeriformes
122,Myophonus caeruleus,Muscicapidae,Passeriformes
123,Niltava grandis,Muscicapidae,Passeriformes
124,Niltava macgrigoriae,Muscicapidae,Passeriformes
125,Niltava sundara,Muscicapidae,Passeriformes
126,Phoenicurus frontalis,Muscicapidae,Passeriformes
127,Aethopyga gouldiae,Nectariniidae,Passeriformes
128,Aethopyga nipalensis,Nectariniidae,Passeriformes
129,Aethopyga saturata,Nectariniidae,Passeriformes
130,Aethopyga siparaja,Nectariniidae,Passeriformes
131,Arachnothera magna,Nectariniidae,Passeriformes
132,Oriolus traillii,Corvidae,Passeriformes
133,Oriolus xanthornus,Corvidae,Passeriformes
134,Machlolophus spilonotus,Paridae,Passeriformes
135,Melanochlora sultanea,Paridae,Passeriformes
136,Sylviparus modestus,Paridae,Passeriformes
137,Gampsorhynchus rufulus,Timaliidae,Passeriformes
138,Malacocincla abbotti,Timaliidae,Passeriformes
139,Napothera epilepidota,Timaliidae,Passeriformes
140,Pellorneum ruficeps,Pellorneidae,Passeriformes
141,Rimator malacoptilus,Timaliidae,Passeriformes
142,Schoeniparus castaneceps,Pellorneidae,Passeriformes
143,Schoeniparus cinereus,Pellorneidae,Passeriformes
144,Arborophila mandellii,Phasianidae,Galliformes
145,Arborophila rufogularis,Phasianidae,Galliformes
146,Arborophila torqueola,Phasianidae,Galliformes
147,Gallus gallus,Phasianidae,Galliformes
148,Lophura leucomelanos,Phasianidae,Galliformes
149,Polyplectron bicalcaratum,Phasianidae,Galliformes
150,Tragopan blythii,Phasianidae,Galliformes
151,Tragopan temminckii,Phasianidae,Galliformes
152,Phylloscopus cantator,Phylloscopidae,Passeriformes
153,Phylloscopus castaniceps,Phylloscopidae,Passeriformes
154,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
155,Phylloscopus intermedius,Phylloscopidae,Passeriformes
156,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
157,Phylloscopus magnirostris,Phylloscopidae,Passeriformes
158,Phylloscopus poliogenys,Phylloscopidae,Passeriformes
159,Phylloscopus pulcher,Phylloscopidae,Passeriformes
160,Phylloscopus reguloides,Phylloscopidae,Passeriformes
161,Phylloscopus whistleri,Phylloscopidae,Passeriformes
162,Phylloscopus xanthoschistos,Phylloscopidae,Passeriformes
163,Blythipicus pyrrhotis,Picidae,Piciformes
164,Chrysocolaptes lucidus,Picidae,Piciformes
165,Chrysophlegma flavinucha,Picidae,Piciformes
166,Dendrocopos cathpharius,Picidae,Piciformes
167,Dendrocopos darjellensis,Picidae,Piciformes
168,Dendrocopos hyperythrus,Picidae,Piciformes
169,Dendrocopos macei,Picidae,Piciformes
170,Gecinulus grantia,Picidae,Piciformes
171,Micropternus brachyurus,Picidae,Piciformes
172,Mulleripicus pulverulentus,Picidae,Piciformes
173,Picumnus innominatus,Picidae,Piciformes
174,Picus canus,Picidae,Piciformes
175,Picus chlorolophus,Picidae,Piciformes
176,Sasia ochracea,Picidae,Piciformes
177,Hydrornis nipalensis,Pittidae,Passeriformes
178,Pitta sordida,Pittidae,Passeriformes
179,Pnoepyga albiventer,Timaliidae,Passeriformes
180,Pnoepyga pusilla,Timaliidae,Passeriformes
181,Batrachostomus hodgsoni,Batrachostomatidae,Caprimulgiformes
182,Psittacula alexandri,Psittacidae,Psittaciformes
183,Alophoixus flaveolus,Pycnonotidae,Passeriformes
184,Hemixos flavala,Pycnonotidae,Passeriformes
185,Hypsipetes leucocephalus,Pycnonotidae,Passeriformes
186,Ixos mcclellandii,Pycnonotidae,Passeriformes
