,Names_orig,Family,Order
1,Abroscopus schisticeps,Sylviidae,Passeriformes
2,Abroscopus superciliaris,Sylviidae,Passeriformes
3,Accipiter nisus,Accipitridae,Accipitriformes
4,Accipiter trivirgatus,Accipitridae,Accipitriformes
5,Accipiter virgatus,Accipitridae,Accipitriformes
6,Aceros nipalensis,Bucerotidae,Bucerotiformes
7,Actinodura egertoni,Leiothrichidae,Passeriformes
8,Aegithalos concinnus,Aegithalidae,Passeriformes
9,Aegithalos iouschistos,Aegithalidae,Passeriformes
10,Aethopyga gouldiae,Nectariniidae,Passeriformes
11,Aethopyga ignicauda,Nectariniidae,Passeriformes
12,Aethopyga nipalensis,Nectariniidae,Passeriformes
13,Aethopyga saturata,Nectariniidae,Passeriformes
14,Aethopyga siparaja,Nectariniidae,Passeriformes
15,Alcippe nipalensis,Timaliidae,Passeriformes
16,Alophoixus flaveolus,Pycnonotidae,Passeriformes
17,Anthipes monileger,Muscicapidae,Passeriformes
18,Anthus hodgsoni,Motacillidae,Passeriformes
19,Arachnothera magna,Nectariniidae,Passeriformes
20,Arborophila mandellii,Phasianidae,Galliformes
21,Arborophila rufogularis,Phasianidae,Galliformes
22,Arborophila torqueola,Phasianidae,Galliformes
23,Blythipicus pyrrhotis,Picidae,Piciformes
24,Brachypteryx montana,Muscicapidae,Passeriformes
25,Buceros bicornis,Bucerotidae,Bucerotiformes
26,Buteo refectus,Accipitridae,Accipitriformes
27,Cacomantis merulinus,Cuculidae,Cuculiformes
28,Cacomantis sonneratii,Cuculidae,Cuculiformes
29,Caprodacus sipahi,Fringillidae,Passeriformes
30,Caprodacus subhimachalus,Fringillidae,Passeriformes
31,Carpodacus erythrinus,Fringillidae,Passeriformes
32,Certhia discolor,Certhiidae,Passeriformes
33,Cettia castaneocoronata,Sylviidae,Passeriformes
34,Chalcophaps indica,Columbidae,Columbiformes
35,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
36,Chloropsis hardwickii,Irenidae,Passeriformes
37,Cholornis unicolor,Sylviidae,Passeriformes
38,Chrysominla strigula,Leiothrichidae,Passeriformes
39,Chrysophlegma flavinucha,Picidae,Piciformes
40,Cinclidium frontale,Muscicapidae,Passeriformes
41,Cissa chinensis,Corvidae,Passeriformes
42,Culicicapa ceylonensis,Stenostiridae,Passeriformes
43,Cutia nipalensis,Leiothrichidae,Passeriformes
44,Cyanoderma chrysaeum,Timaliidae,Passeriformes
45,Cyanoderma ruficeps,Timaliidae,Passeriformes
46,Cyornis unicolor,Muscicapidae,Passeriformes
47,Dendrocitta formosae,Corvidae,Passeriformes
48,Dendrocitta frontalis,Corvidae,Passeriformes
49,Dendrocopos cathpharius,Picidae,Piciformes
50,Dendrocopos darjellensis,Picidae,Piciformes
51,Dicaeum ignipectus,Dicaeidae,Passeriformes
52,Dicrurus aeneus,Dicruridae,Passeriformes
53,Dicrurus hottentottus,Dicruridae,Passeriformes
54,Dicrurus leucophaeus,Dicruridae,Passeriformes
55,Dicrurus paradiseus,Dicruridae,Passeriformes
56,Dicrurus remifer,Dicruridae,Passeriformes
57,Dinopium javanese,Picidae,Piciformes
58,Dryonastes gularis,Leiothrichidae,Passeriformes
59,Ducula badia,Columbidae,Columbiformes
60,Elachura formosa,Elachuridae,Passeriformes
61,Enicurus immaculatus,Muscicapidae,Passeriformes
62,Enicurus schistaceus,Muscicapidae,Passeriformes
63,Erpornis zantholeuca,Timaliidae,Passeriformes
64,Eumyias thalassinus,Muscicapidae,Passeriformes
65,Ficedula albicilla,Muscicapidae,Passeriformes
66,Ficedula hodgsoni,Muscicapidae,Passeriformes
67,Ficedula hyperythra,Muscicapidae,Passeriformes
68,Ficedula strophiata,Muscicapidae,Passeriformes
69,Ficedula tricolor,Muscicapidae,Passeriformes
70,Fulvetta ludlowi,Sylviidae,Passeriformes
71,Gallus gallus,Phasianidae,Galliformes
72,Garrulax albogularis,Leiothrichidae,Passeriformes
73,Garrulax caerulatus,Leiothrichidae,Passeriformes
74,Garrulax leucolophus,Leiothrichidae,Passeriformes
75,Garrulax ocellatus,Leiothrichidae,Passeriformes
76,Garrulax pectoralis,Leiothrichidae,Passeriformes
77,Glaucidium brodiei,Strigidae,Strigiformes
78,Glaucidium cuculoides,Strigidae,Strigiformes
79,Grammatoptila striata,Leiothrichidae,Passeriformes
80,Harpactes erythrocephalus,Trogonidae,Trogoniformes
81,Harpactes wardi,Trogonidae,Trogoniformes
82,Hemipus picatus,Campephagidae,Passeriformes
83,Hemixos flavala,Pycnonotidae,Passeriformes
84,Heterophasia picaoides,Leiothrichidae,Passeriformes
85,Heterophasia pulchella,Leiothrichidae,Passeriformes
86,Hierococcyx sparverioides,Cuculidae,Cuculiformes
87,Horornis brunnescens,Scotocercidae,Passeriformes
88,Horornis fortipes,Scotocercidae,Passeriformes
89,Hypsipetes leucocephalus,Pycnonotidae,Passeriformes
90,Ictinaetus malaiensis,Accipitridae,Accipitriformes
91,Irena puella,Irenidae,Passeriformes
92,Ixos mcclellandii,Pycnonotidae,Passeriformes
93,Lalage melaschistos,Campephagidae,Passeriformes
94,Leioptila annectens,Leiothrichidae,Passeriformes
95,Leiothrix argentauris,Leiothrichidae,Passeriformes
96,Liocichla phoenicea,Leiothrichidae,Passeriformes
97,Lioparus chrysotis,Sylviidae,Passeriformes
98,Lophotriorchis kienerii,Accipitridae,Accipitriformes
99,Lophura leucomelanos,Phasianidae,Galliformes
100,Loriculus vernalis,Psittacidae,Psittaciformes
101,Machlolophus spilonotus,Paridae,Passeriformes
102,Macropygia unchall,Columbidae,Columbiformes
103,Melanochlora sultanea,Paridae,Passeriformes
104,Minla ignotincta,Leiothrichidae,Passeriformes
105,Mixornis gularis,Timaliidae,Passeriformes
106,Monticola rufiventris,Turdidae,Passeriformes
107,Myophonus caeruleus,Muscicapidae,Passeriformes
108,Myzornis pyrrhoura,Paradoxornithidae,Passeriformes
109,Napothera epilepidota,Timaliidae,Passeriformes
110,Niltava grandis,Muscicapidae,Passeriformes
111,Niltava macgrigoriae,Muscicapidae,Passeriformes
112,Nisaetus nipalensis,Accipitridae,Accipitriformes
113,Nucifraga caryocatactes,Corvidae,Passeriformes
114,Nyctyornis athertoni,Meropidae,Coraciiformes
115,Oriolus traillii,Corvidae,Passeriformes
116,Orthotomus sutorius,Cisticolidae,Passeriformes
117,Parus monticolus,Paridae,Passeriformes
118,Pellorneum ruficeps,Pellorneidae,Passeriformes
119,Pericrocotus brevirostris,Campephagidae,Passeriformes
120,Pericrocotus ethologus,Campephagidae,Passeriformes
121,Pericrocotus flammeus,Campephagidae,Passeriformes
122,Pericrocotus solaris,Campephagidae,Passeriformes
123,Periparus ater,Paridae,Passeriformes
124,Periparus rubidiventris,Paridae,Passeriformes
125,Pernis ptilorhynchus,Accipitridae,Accipitriformes
126,Phaenicophaeus tristis,Cuculidae,Cuculiformes
127,Phoenicurus frontalis,Muscicapidae,Passeriformes
128,Phoenicurus schisticeps,Muscicapidae,Passeriformes
129,Phyllergates cucullatus,Scotocercidae,Passeriformes
130,Phylloscopus castaniceps,Phylloscopidae,Passeriformes
131,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
132,Phylloscopus fuscatus,Phylloscopidae,Passeriformes
133,Phylloscopus intermedius,Phylloscopidae,Passeriformes
134,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
135,Phylloscopus poliogenys,Phylloscopidae,Passeriformes
136,Phylloscopus pulcher,Phylloscopidae,Passeriformes
137,Phylloscopus reguloides,Phylloscopidae,Passeriformes
138,Phylloscopus trochiloides,Phylloscopidae,Passeriformes
139,Phylloscopus whistleri,Phylloscopidae,Passeriformes
140,Phylloscopus xanthoschistos,Phylloscopidae,Passeriformes
141,Picus chlorolophus,Picidae,Piciformes
142,Pnoepyga albiventer,Timaliidae,Passeriformes
143,Pnoepyga pusilla,Timaliidae,Passeriformes
144,Polyplectron bicalcaratum,Phasianidae,Galliformes
145,Pomatorhinus ferruginosus,Timaliidae,Passeriformes
146,Pomatorhinus ruficollis,Timaliidae,Passeriformes
147,Pomatorhinus schisticeps,Timaliidae,Passeriformes
148,Pomatorhinus superciliaris,Timaliidae,Passeriformes
149,Prinia atrogularis,Cisticolidae,Passeriformes
150,Procarduelis nipalensis,Fringillidae,Passeriformes
151,Prunella immaculata,Passeridae,Passeriformes
152,Prunella strophiata,Passeridae,Passeriformes
153,Psarisomus dalhousiae,Eurylaimidae,Passeriformes
154,Megalaima asiatica,Megalaimidae,Piciformes
155,Megalaima australis,Megalaimidae,Piciformes
156,Megalaima franklinii,Megalaimidae,Piciformes
157,Psilopogon virens,Megalaimidae,Piciformes
158,Psittiparus ruficeps,Sylviidae,Passeriformes
159,Pteruthius aeralatus,Timaliidae,Passeriformes
160,Pteruthius melanotis,Timaliidae,Passeriformes
161,Pteruthius rufiventer,Timaliidae,Passeriformes
162,Pteruthius xanthochlorus,Timaliidae,Passeriformes
163,Pycnonotus flaviventris,Pycnonotidae,Passeriformes
164,Pycnonotus striatus,Pycnonotidae,Passeriformes
165,Pyrrhoplectes epauletta,Fringillidae,Passeriformes
166,Pyrrhula erythaca,Fringillidae,Passeriformes
167,Pyrrhula erythrocephala,Fringillidae,Passeriformes
168,Pyrrhula nipalensis,Fringillidae,Passeriformes
169,Rhipidura albicollis,Rhipiduridae,Passeriformes
170,Rhyticeros undulatus,Bucerotidae,Bucerotiformes
171,Rimator malacoptilus,Timaliidae,Passeriformes
172,Schoeniparus castaneceps,Pellorneidae,Passeriformes
173,Schoeniparus cinereus,Pellorneidae,Passeriformes
174,Sibia waldeni,Leiothrichidae,Passeriformes
175,Sitta cinnamoventris,Sittidae,Passeriformes
176,Sitta formosa,Sittidae,Passeriformes
177,Sitta himalayensis,Sittidae,Passeriformes
178,Siva cyanouroptera,Leiothrichidae,Passeriformes
179,Spelaeornis caudatus,Timaliidae,Passeriformes
180,Spelaeornis troglodytoides,Timaliidae,Passeriformes
181,Spilornis cheela,Accipitridae,Accipitriformes
182,Spinus thibetanus,Fringillidae,Passeriformes
183,Sphenocichla humei,Timaliidae,Passeriformes
184,Stachyris nigriceps,Timaliidae,Passeriformes
185,Suthora nipalensis,Sylviidae,Passeriformes
186,Sylviparus modestus,Paridae,Passeriformes
187,Tarsiger hyperythrus,Turdidae,Passeriformes
188,Tarsiger indicus,Turdidae,Passeriformes
189,Tarsiger rufilatus,Turdidae,Passeriformes
190,Tephrodornis virgatus,Prionopidae,Passeriformes
191,Tesia cyaniventer,Sylviidae,Passeriformes
192,Tesia olivea,Sylviidae,Passeriformes
193,Tragopan blythii,Phasianidae,Galliformes
194,Treron sphenurus,Columbidae,Columbiformes
195,Trochalopteron affine,Leiothrichidae,Passeriformes
196,Trochalopteron erythrocephalum,Leiothrichidae,Passeriformes
197,Trochalopteron imbricatum,Leiothrichidae,Passeriformes
198,Trochalopteron squamatum,Leiothrichidae,Passeriformes
199,Trochalopteron subunicolor,Leiothrichidae,Passeriformes
200,Urocissa flavirostris,Corvidae,Passeriformes
201,Yuhina bakeri,Timaliidae,Passeriformes
202,Yuhina castaniceps,Timaliidae,Passeriformes
203,Yuhina flavicollis,Timaliidae,Passeriformes
204,Yuhina gularis,Timaliidae,Passeriformes
205,Yuhina nigrimenta,Timaliidae,Passeriformes
206,Yuhina occipitalis,Timaliidae,Passeriformes
207,Zoothera dauma,Turdidae,Passeriformes
208,Zoothera dixoni,Turdidae,Passeriformes
209,Zoothera mollissima,Turdidae,Passeriformes
210,Zosterops palpebrosus,Zosteropidae,Passeriformes
