TipName,OurName
Nep_hespera,Macroglossinae_Nephele_hespera
Per_acteus,Macroglossinae_Pergesa_acteus
Rha_acuta,Macroglossinae_Rhagastis_acuta
Rha_albomarg,Macroglossinae_Rhagastis_albomarginatus
Rha_binoculat,Macroglossinae_Rhagastis_species
Rha_castor,Macroglossinae_Rhagastis_castor
Rha_confusa,Macroglossinae_Rhagastis_confusa
Rha_gloriosa,Macroglossinae_Rhagastis_gloriosa
Rha_lunata,Macroglossinae_Rhagastis_lunata
Rha_olivacea,Macroglossinae_Rhagastis_olivacea
Rha_velata,Macroglossinae_Rhagastis_velata
Mac_variegat,Macroglossinae_Macroglossum_macrosp1
Mac_vicinum,Macroglossinae_Macroglossum_macrosp2
The_alecto,Macroglossinae_Theretra_alecto
The_boisduva,Macroglossinae_Theretra_boisduvalii
The_clotho,Macroglossinae_Theretra_clotho
The_griseomar,Macroglossinae_Theretra_griseomarginata
The_latrelli,Macroglossinae_Theretra_latreillii
The_nessus,Macroglossinae_Theretra_nessus
The_oldenla,Macroglossinae_Theretra_oldenlandiae
The_pallicost,Macroglossinae_Theretra_pallicosta
The_rhesus,Macroglossinae_Theretra_species
The_suffusca,Macroglossinae_Theretra_suffusa
Eup_busiris,Macroglossinae_Eupanacra_busiris
Eup_perfecta,Macroglossinae_Eupanacra_perfecta
Eup_sinuata,Macroglossinae_Eupanacra_sinuata
Eup_variolos,Macroglossinae_Eupanacra_variolosa
Dap_hypothous,Macroglossinae_Daphnis_hypothous
Hip_boerhavi,Macroglossinae_Hippotion_boerhaviae
Hip_celerio,Macroglossinae_Hippotion_celerio
Hip_echleclus,Macroglossinae_Hippotion_species
Aco_anceus,Macroglossinae_Acosmeryx_anceus
Aco_castane,Macroglossinae_Acosmeryx_species
Aco_naga,Macroglossinae_Acosmeryx_naga
Aco_omissa,Macroglossinae_Acosmeryx_omissa
Aco_sericeus,Macroglossinae_Acosmeryx_sericeus
Aco_servilli,Macroglossinae_Acosmeryx_shervillii
Aco_sinjaevi,Macroglossinae_Acosmeryx_sinjaevi
Aco_harteri,Macroglossinae_Acosmerycoides_harterti
Amp_dolichoi,Macroglossinae_Ampelophaga_dolichoides
Amp_khasiana,Macroglossinae_Ampelophaga_khasiana
Amp_nikolae,Macroglossinae_Ampelophaga_ampelospecies
Amp_rubigino,Macroglossinae_Ampelophaga_rubiginosa
Ang_testacea,Macroglossinae_Angonyx_testacea
Cec_aegrota,Macroglossinae_Cechenena_aegrota
Cec_helops,Macroglossinae_Cechenena_helops
Cec_lineosa,Macroglossinae_Cechetra_lineosa
Cec_minor,Macroglossinae_Cechetra_minor
Cec_mirabili,Macroglossinae_Cechetra_species
Cec_scotti,Macroglossinae_Cechetra_scotti
Cec_subangust,Macroglossinae_Cechetra_subangustata
Mar_cristata,Smerinthinae_Marumba_cristata
Mar_dyras,Smerinthinae_Marumba_dyras
Mar_quercus,Smerinthinae_Marumba_echephron
Mar_spectabil,Smerinthinae_Marumba_spectabilis
Dap_siconti,Smerinthinae_Daphnusa_sinocontinentalis
Cal_junonia,Smerinthinae_Callambulyx_junonia
Cal_poecilus,Smerinthinae_Callambulyx_poecilus
Cal_rubricos,Smerinthinae_Callambulyx_rubricosa
Cal_sinjaevi,Smerinthinae_Callambulyx_species
Cra_montana,Smerinthinae_Craspedortha_species
Cra_porphyria,Smerinthinae_Craspedortha_porphyria
Cla_schwartzi,Smerinthinae_Clanis_schwartzi
Cla_titan,Smerinthinae_Clanis_titan
Cla_undulosa,Smerinthinae_Clanis_undulosa
Cyp_decolor,Smerinthinae_Cypa_decolor
Rho_callantha,Smerinthinae_Rhodoprasina_rhodospecies
Amb_liturat,Smerinthinae_Ambulyx_liturata
Amb_maculifer,Smerinthinae_Ambulyx_maculifera
Amb_moorei,Smerinthinae_Ambulyx_moorei
Amb_ochracea,Smerinthinae_Ambulyx_ochracea
Amb_pseudocla,Smerinthinae_Ambulyx_pseudoclavata
Amb_sericep,Smerinthinae_Ambulyx_sericeipennis
Amb_siamen,Smerinthinae_Ambulyx_species
Amb_subtrigi,Smerinthinae_Ambulyx_substrigilis
Amb_tobii,Smerinthinae_Ambulyx_tobii
Amp_mansoni,Smerinthinae_Amplypterus_mansoni
Amp_panopus,Smerinthinae_Amplypterus_panopus
Apo_velox,Sphinginae_Apocalypsis_velox
Meg_analis,Sphinginae_Meganoton_analis
Meg_nyctipha,Sphinginae_Meganoton_species
Meg_rubensce,Sphinginae_Meganoton_rubescens
Psi_increta,Sphinginae_Psilogramma_increta
Psi_menephr,Sphinginae_Psilogramma_menephron
Psi_oriental,Sphinginae_Psilogramma_species
Ach_atropos,Sphinginae_Acherontia_species
Ach_lachesis,Sphinginae_Acherontia_lachesis
Ach_styx,Sphinginae_Acherontia_styx
Agr_convolv,Sphinginae_Agrius_convolvuli
Meg_obliqua,Sphinginae_Megacorma_obliqua
Dol_inexac,Smerinthinae_Dolbina_inexacta
