OrigTips,NewTips,DropTips
Abroscopus_albogularis,Abroscopus_albogularis,Acridotheres_fuscus
Abroscopus_schisticeps,Abroscopus_schisticeps,Acridotheres_ginginianus
Abroscopus_superciliaris,Abroscopus_superciliaris,Acridotheres_grandis
Aceros_nipalensis,Aceros_nipalensis,Actinodura_nipalensis
Acridotheres_tristis,Acridotheres_tristis,Aegithalos_iouschistos
Actinodura_egertoni,Actinodura_egertoni,Aerodramus_brevirostris
Aegithalos_concinnus,Aegithalos_concinnus,Aethopyga_ignicauda
Aegithina_tiphia,Aegithina_tiphia,Alauda_gulgula
Aethopyga_gouldiae,Aethopyga_gouldiae,Alcedo_atthis
Aethopyga_nipalensis,Aethopyga_nipalensis,Alcedo_hercules
Aethopyga_saturata,Aethopyga_saturata,Alcedo_meninting
Aethopyga_siparaja,Aethopyga_siparaja,Amandava_amandava
Alcippe_nipalensis,Alcippe_nipalensis,Anthus_hodgsoni
Alophoixus_flaveolus,Alophoixus_flaveolus,Anthus_roseatus
Anthracoceros_albirostris,Anthracoceros_albirostris,Anthus_rufulus
Arachnothera_magna,Arachnothera_magna,Apus_acuticauda
Batrachostomus_hodgsoni,Batrachostomus_hodgsoni,Apus_affinis
Blythipicus_pyrrhotis,Blythipicus_pyrrhotis,Apus_pacificus
Brachypteryx_leucophrys,Brachypteryx_leucophrys,Arachnothera_longirostra
Brachypteryx_montana,Brachypteryx_montana,Artamus_fuscus
Buceros_bicornis,Buceros_bicornis,Athene_brama
Cacomantis_merulinus,Cacomantis_merulinus,Athene_noctua
Cacomantis_sonneratii,Cacomantis_sonneratii,Brachypteryx_hyperythra
Certhia_discolor,Certhia_discolor,Bradypterus_luteoventris
Cettia_brunnifrons,Cettia_brunnifrons,Bradypterus_mandelli
Chalcophaps_indica,Chalcophaps_indica,Bradypterus_thoracicus
Chloropsis_aurifrons,Chloropsis_aurifrons,Bubo_bengalensis
Chloropsis_hardwickii,Chloropsis_hardwickii,Bubo_nipalensis
