,AllTipsSchumm,AllSpecies_MM,Schumm_MM_DirectMatch,Extra_in_MM,Schumm_OrigNames,ChangeNameInSchumm,Final_Extra_in_MM,DownloadJetzTree
1,Abroscopus_albogularis,Abroscopus_albogularis,Abroscopus_albogularis,Accipiter_trivirgatus,Ficedula_monileger,Anthipes_monileger,Dendrocopos_hyperythrus,Abroscopus albogularis
2,Abroscopus_schisticeps,Abroscopus_schisticeps,Abroscopus_schisticeps,Anthipes_monileger,Haematospiza_sipahi,Carpodacus_sipahi,Gallus_gallus,Abroscopus schisticeps
3,Abroscopus_superciliaris,Abroscopus_superciliaris,Abroscopus_superciliaris,Arborophila_mandellii,Propyrrhula_subhimachala,Carpodacus_subhimachalus,Lophura_leucomelanos,Abroscopus superciliaris
4,Aceros_nipalensis,Accipiter_trivirgatus,Aceros_nipalensis,Arborophila_rufogularis,Tesia_castaneocoronata,Cettia_castaneocoronata,Microhierax_melanoleucos,Accipiter trivirgatus
5,Aceros_undulatus,Aceros_nipalensis,Acridotheres_tristis,Arborophila_torqueola,Chelidorhynx_hypoxantha,Chelidorhynx_hypoxanthus,Polyplectron_bicalcaratum,Aceros nipalensis
6,Acridotheres_fuscus,Acridotheres_tristis,Actinodura_egertoni,Carpodacus_sipahi,Paradoxornis_atrosuperciliaris,Chleuasicus_atrosuperciliaris,Tragopan_blythii,Aceros undulatus
7,Acridotheres_ginginianus,Actinodura_egertoni,Aegithalos_concinnus,Carpodacus_subhimachalus,Carduelis_spinoides,Chloris_spinoides,Tragopan_temminckii,Acridotheres tristis
8,Acridotheres_grandis,Aegithalos_concinnus,Aegithina_tiphia,Cettia_castaneocoronata,Paradoxornis_unicolor,Cholornis_unicolor,Arborophila_mandellii,Actinodura egertoni
9,Acridotheres_tristis,Aegithina_tiphia,Aethopyga_gouldiae,Chelidorhynx_hypoxanthus,Minla_strigula,Chrysominla_strigula,Arborophila_rufogularis,Aegithalos concinnus
10,Actinodura_egertoni,Aethopyga_gouldiae,Aethopyga_nipalensis,Chleuasicus_atrosuperciliaris,Picus_flavinucha,Chrysophlegma_flavinucha,Arborophila_torqueola,Aegithina tiphia
11,Actinodura_nipalensis,Aethopyga_nipalensis,Aethopyga_saturata,Chloris_spinoides,Stachyridopsis_chrysaea,Cyanoderma_chrysaeum,Sibia_waldeni,Aethopyga gouldiae
12,Aegithalos_concinnus,Aethopyga_saturata,Aethopyga_siparaja,Cholornis_unicolor,Stachyridopsis_ruficeps,Cyanoderma_ruficeps,Spilornis_cheela,Aethopyga nipalensis
13,Aegithalos_iouschistos,Aethopyga_siparaja,Alcippe_nipalensis,Chrysominla_strigula,Dicaeum_melanoxanthum,Dicaeum_melanozanthum,Nisaetus_nipalensis,Aethopyga saturata
14,Aegithina_tiphia,Alcippe_nipalensis,Alophoixus_flaveolus,Chrysophlegma_flavinucha,Dicrurus_annectans,Dicrurus_annectens,Ictinaetus_malaiensis,Aethopyga siparaja
15,Aerodramus_brevirostris,Alophoixus_flaveolus,Anthracoceros_albirostris,Cyanoderma_chrysaeum,Spelaeornis_formosus,Elachura_formosa,Accipiter_trivirgatus,Alcippe nipalensis
16,Aethopyga_gouldiae,Anthipes_monileger,Arachnothera_magna,Cyanoderma_ruficeps,Muscicapella_hodgsoni,Ficedula_hodgsoni,Pernis_ptilorhynchus,Alophoixus flaveolus
17,Aethopyga_ignicauda,Anthracoceros_albirostris,Batrachostomus_hodgsoni,Cyornis_banyumas,Cettia_brunnescens,Horornis_brunnescens,,Anthracoceros albirostris
18,Aethopyga_nipalensis,Arachnothera_magna,Blythipicus_pyrrhotis,Dendrocopos_hyperythrus,Cettia_fortipes,Horornis_fortipes,,Arachnothera magna
19,Aethopyga_saturata,Arborophila_mandellii,Brachypteryx_leucophrys,Dicaeum_melanozanthum,Pitta_nipalensis,Hydrornis_nipalensis,,Arborophila mandellii
20,Aethopyga_siparaja,Arborophila_rufogularis,Brachypteryx_montana,Dicrurus_annectens,Hypsipetes_mcclellandi,Ixos_mcclellandii,,Arborophila rufogularis
21,Alauda_gulgula,Arborophila_torqueola,Buceros_bicornis,Elachura_formosa,Coracina_melaschistos,Lalage_melaschistos,,Arborophila torqueola
22,Alcedo_atthis,Batrachostomus_hodgsoni,Cacomantis_merulinus,Ficedula_hodgsoni,Heterophasia_annectans,Leioptila_annectens,,Batrachostomus hodgsoni
23,Alcedo_hercules,Blythipicus_pyrrhotis,Cacomantis_sonneratii,Gallus_gallus,Parus_spilonotus,Machlolophus_spilonotus,,Blythipicus pyrrhotis
24,Alcedo_meninting,Brachypteryx_leucophrys,Certhia_discolor,Garrulax_caerulatus,Seicercus_castaniceps,Phylloscopus_castaniceps,,Brachypteryx leucophrys
