AllTipsSchumm,AllSpecies_MM,Schumm_MM_DirectMatch,Extra_in_MM,Schumm_OrigNames,ChangeNameInSchumm,Final_Extra_in_MM,DownloadJetzTree
Abroscopus_albogularis,Abroscopus_schisticeps,Abroscopus_schisticeps,Accipiter_nisus,Paradoxornis_atrosuperciliaris,Chleuasicus_atrosuperciliaris,Accipiter_nisus,Abroscopus albogularis
Abroscopus_schisticeps,Abroscopus_superciliaris,Abroscopus_superciliaris,Accipiter_trivirgatus,Dicaeum_melanoxanthum,Dicaeum_melanozanthum,Accipiter_trivirgatus,Abroscopus schisticeps
Abroscopus_superciliaris,Accipiter_nisus,Aceros_nipalensis,Accipiter_virgatus,Dicrurus_annectans,Dicrurus_annectens,Accipiter_virgatus,Abroscopus superciliaris
Aceros_nipalensis,Accipiter_trivirgatus,Actinodura_egertoni,Aceros_nipalensis,Pitta_nipalensis,Hydrornis_nipalensis,Arborophila_mandellii,Accipiter trivirgatus
Aceros_undulatus,Accipiter_virgatus,Aegithalos_concinnus,Anthipes_monileger,Schoeniparus_cinerea,Schoeniparus_cinereus,Arborophila_rufogularis,Aceros nipalensis
Acridotheres_fuscus,Aceros_nipalensis,Aegithalos_iouschistos,Arborophila_mandellii,Cyornis_magnirostris,Cyornis_banyumas,Arborophila_torqueola,Aceros undulatus
Acridotheres_ginginianus,Actinodura_egertoni,Aethopyga_gouldiae,Arborophila_rufogularis,Dryonastes_gularis,Garrulax_gularis,Buteo_refectus,Acridotheres tristis
Acridotheres_grandis,Aegithalos_concinnus,Aethopyga_ignicauda,Arborophila_torqueola,Carduelis_spinoides,Chloris_spinoides,Dinopium_javanese,Actinodura egertoni
Acridotheres_tristis,Aegithalos_iouschistos,Aethopyga_nipalensis,Buteo_refectus,Megalaima_lineata,Psilopogon_lineatus,Ficedula_albicilla,Aegithalos concinnus
Actinodura_egertoni,Aethopyga_gouldiae,Aethopyga_saturata,Caprodacus_sipahi,Ficedula_monileger,Anthipes_monileger,Gallus_gallus,Aegithina tiphia
