Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PyS.Air,PyS.Ground,PyS.TreeCanopy,PyS.Bush,PyS.MidCanopy,PyS.Stream,PyS.Riverbed,PyS.Cliff,F.Air,F.Ground,F.Fruitingbody,F.Leaf,F.Bark,F.River?,F.Water,F.Moss,F.I,F.Flower,D.Vertebrates,D.Arthropod,D.Seed/Shoot?,D.Fruit,D.Omnivore,D.Nectar,H.forest,H.open,H.water
Chelidorhynx_hypoxanthus,4.05,2.58,1.75,57.75,15.58,5.5,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Suthora_nipalensis,4.54,4.19,5.78,50.5,17.43,5.5,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Lioparus_chrysotis,4.87,2.65,3.03,51.67,20.63,11.79,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Aegithalos_concinnus,4.9,2.53,3.25,52.5,17.2,6.1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pteruthius_xanthochlorus,5.05,3.36,3.69,61.5,20.6,14.3,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Sylviparus_modestus,5.05,2.65,2.84,59.5,17.55,8.2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Phylloscopus_castaniceps,5.1,2.35,2.38,28.35,16.3,5.3,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Cettia_brunnifrons,5.26,1.98,2.03,45.4,18.32,7.5,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0
Phylloscopus_maculipennis,5.31,2.46,1.92,50.75,17.86,5.1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pteruthius_melanotis,5.34,3.25,3.97,60.33,19.57,13.3,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Muscicapa_sibirica,5.4,3.59,2.51,73.13,11.75,13.2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Phylloscopus_chloronotus,5.44,2.56,1.95,54.5,16.59,5.1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Abroscopus_albogularis,5.48,2.5,2.1,43.5,15.6,5,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Abroscopus_schisticeps,5.5,2.88,2.25,49.5,16,4.7,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Yuhina_castaniceps,5.62,2.95,3.08,61.25,17.15,11.8,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Fulvetta_ludlowi,5.75,2.43,3.33,56.5,23.5,12.34,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Horornis_fortipes,5.9,2.17,2.43,54.33,22.5,10.4,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0
Spelaeornis_troglodytoides,5.93,2.3,3,51,22.45,11,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Dicaeum_melanozanthum,6,3.8,3.65,73.5,16,12.5,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Ficedula_tricolor,6.07,3.08,2.56,60.42,19.25,8.3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Ficedula_hodgsoni,6.09,2.43,2.35,53.1,16.1,5,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Muscicapa_ferruginea,6.09,4.48,2.96,69.2,14.5,12,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Culicicapa_ceylonensis,6.2,3.53,2.49,62.5,13.8,7.7,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
