For_all_in_Schumm,Step1_ChangeNames,Step2_DeleteTips
Ficedula_monileger,Anthipes_monileger,NA
Haematospiza_sipahi,Carpodacus_sipahi,NA
Propyrrhula_subhimachala,Carpodacus_subhimachalus,NA
Tesia_castaneocoronata,Cettia_castaneocoronata,NA
Chelidorhynx_hypoxantha,Chelidorhynx_hypoxanthus,NA
Paradoxornis_atrosuperciliaris,Chleuasicus_atrosuperciliaris,NA
Carduelis_spinoides,Chloris_spinoides,NA
Paradoxornis_unicolor,Cholornis_unicolor,NA
Minla_strigula,Chrysominla_strigula,NA
Picus_flavinucha,Chrysophlegma_flavinucha,NA
Stachyridopsis_chrysaea,Cyanoderma_chrysaeum,NA
Stachyridopsis_ruficeps,Cyanoderma_ruficeps,NA
Cyornis_magnirostris,Cyornis_banyumas,NA
Dicaeum_melanoxanthum,Dicaeum_melanozanthum,NA
Dicrurus_annectans,Dicrurus_annectens,NA
Spelaeornis_formosus,Elachura_formosa,NA
Muscicapella_hodgsoni,Ficedula_hodgsoni,NA
Dryonastes_caerulatus,Garrulax_caerulatus,NA
Dryonastes_gularis,Garrulax_gularis,NA
Ianthocincla_ocellata,Garrulax_ocellatus,NA
Cettia_brunnescens,Horornis_brunnescens,NA
Cettia_fortipes,Horornis_fortipes,NA
Pitta_nipalensis,Hydrornis_nipalensis,NA
Hypsipetes_mcclellandi,Ixos_mcclellandii,NA
Coracina_melaschistos,Lalage_melaschistos,NA
Heterophasia_annectans,Leioptila_annectens,NA
Parus_spilonotus,Machlolophus_spilonotus,NA
Pericrocotus_speciosus,Pericrocotus_flammeus,NA
Parus_ater,Periparus_ater,NA
Parus_rubidiventris,Periparus_rubidiventris,NA
Seicercus_castaniceps,Phylloscopus_castaniceps,NA
Phylloscopus_affinis,Phylloscopus_intermedius,NA
Seicercus_poliogenys,Phylloscopus_poliogenys,NA
Seicercus_whistleri,Phylloscopus_whistleri,NA
Xiphirhynchus_superciliaris,Pomatorhinus_superciliaris,NA
Carpodacus_nipalensis,Procarduelis_nipalensis,NA
Megalaima_lineata,Psilopogon_lineatus,NA
Megalaima_virens,Psilopogon_virens,NA
Paradoxornis_ruficeps,Psittiparus_ruficeps,NA
Aceros_undulatus,Rhyticeros_undulatus,NA
Schoeniparus_cinerea,Schoeniparus_cinereus,NA
Minla_cyanouroptera,Siva_cyanouroptera,NA
Paradoxornis_nipalensis,Suthora_nipalensis,NA
Tephrodornis_gularis,Tephrodornis_virgatus,NA
Staphida_castaniceps,Yuhina_castaniceps,NA
Dinopium_shorii,Dinopium_javanese,NA
Ficedula_superciliaris,Ficedula_albicilla,NA
Garrulus_glandarius,Garrulax_leucolophus,NA
Microhierax_caerulescens,Microhierax_melanoleucos,NA
Hypopicus_hyperythrus,Dendrocopos_hyperythrus,NA
Acridotheres_fuscus,NA,Acridotheres_fuscus
